text,gold_label,pred_label,correct,reasoning,categories
asia culture travel submitted the document as part of its legal defense to the international chamber of commerce which is arbitrating the case between asia culture travel and northrop,NOT_SLANG,NOT_SLANG,True,"This is a formal legal/business sentence naming entities (Asia Culture Travel, International Chamber of Commerce, Northrop) and describing procedural actions. All tokens — 'asia', 'culture', 'travel', 'submitted', 'the', 'document', etc. — are standard English words used in their literal, formal senses. No internet slang, Gen Z slang, abbreviations, or colloquial expressions appear. The proper nouns are capitalized but that doesn’t make them slang. Thus, no slang tokens — NOT_SLANG.",syntactic|semantic
however none of the big three weeklies recorded circulation gains recently,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'however', 'none', 'of', 'the', 'big', 'three', 'weeklies', 'recorded', 'circulation', 'gains', 'recently' — all are standard English words used in formal journalism/financial reporting. 'Big three' is a conventional phrase (e.g., referring to major publications), not slang. 'Weeklies' is a standard noun meaning weekly publications. No Gen Z or internet slang present. So this is NOT_SLANG.",syntactic|semantic
im very happy to watch and give you a vibe check i think a lot of that is lefty gobbleygook stemming from gramschi but thats what i hate about calling it marxism marx never talked abou this shit makes you look like a schiz,SLANG,SLANG,True,"Reasoning: Scanning each token for slang:
- 'im' = informal contraction of 'I'm', but not considered slang in this context (common orthographic variant, not lexical slang).
- 'vibe check' = established Gen Z slang phrase meaning an informal assessment of someone's mood, energy, or authenticity → two-token slang expression.
- 'lefty gobbleygook' — 'gobbleygook' is standard English (nonsense jargon), not slang; 'lefty' is informal but widely accepted political shorthand, not typically tagged as slang in modern detection frameworks unless part of a recognized slang compound (here it’s descriptive, not slangy).
- 'gramschi' = misspelling/meme variant of 'Gramsci' (Antonio Gramsci), used here as a proper noun reference — not slang.
- 'marxism', 'marx', 'schiz' — 'schiz' is internet slang abbreviation for 'schizophrenic', often used hyperbolically (e.g., ""that’s schiz"") to mean chaotic, nonsensical, or mentally unstable. It appears at the end as 'schiz', and given the context (""makes you look like a schiz""), this is clearly slang usage (pejorative, informal, non-literal). So 'schiz' = B-SLANG.
- 'this shit' — 'shit' is profane but not slang per se in this context; it's standard vulgar English. However, 'this shit' as a phrase isn’t a fixed slang expression here — it's literal referential ('this [nonsense]'). Not tagged as slang.
- No other tokens qualify: 'erasing', 'stemming', 'hate', 'calling', etc. are all standard.

So slang tokens are:
- 'vibe' → B-SLANG (first of 'vibe check')
- 'check' → I-SLANG
- 'schiz' → B-SLANG (single-token slang)

All others are O.

Count tokens:  
""im very happy to watch and give you a vibe check i think a lot of that is lefty gobbleygook stemming from gramschi but thats what i hate about calling it marxism marx never talked abou this shit makes you look like a schiz""  
Let’s verify count:  
1.im 2.very 3.happy 4.to 5.watch 6.and 7.give 8.you 9.a 10",syntactic|semantic
lol but the pts get such yummy snacks,NOT_SLANG,SLANG,False,"Scanning each token: 'lol' is internet slang for 'laugh out loud' — a well-established, single-token slang expression. 'but the pts get such yummy snacks' are all standard English words; 'pts' could be ambiguous but in context likely stands for 'parent-teacher-students' or similar institutional abbreviation — not slang. 'yummy' is informal but widely accepted in standard usage and not considered Gen Z slang in this context. Only 'lol' qualifies as slang here. So this is SLANG.",syntactic|semantic|hallucination
i hate the fact that i have the urge to constantly ask for reassurance about whether my friends still love me or not why can t i be secure in my relationships,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'i', 'hate', 'the', 'fact', 'that', 'i', 'have', 'the', 'urge', 'to', 'constantly', 'ask', 'for', 'reassurance', 'about', 'whether', 'my', 'friends', 'still', 'love', 'me', 'or', 'not', 'why', 'can', 't', 'i', 'be', 'secure', 'in', 'my', 'relationships' — all are standard English words used in their literal, non-slang senses. No internet slang, abbreviations (e.g., no 'fr', 'idk', 'tbh'), or Gen Z lexical innovations appear. Phrases like 'ask for reassurance' and 'secure in my relationships' are clinical/psychological terminology, not slang. Thus, no slang tokens present.",syntactic|semantic
great western said it had a sharp increase in margins in the recent third quarter,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'great western' is a proper noun (likely a company name), 'said', 'it', 'had', 'a', 'sharp', 'increase', 'in', 'margins', 'in', 'the', 'recent', 'third', 'quarter' — all are standard English words used in formal financial reporting. No slang expressions (e.g., no 'bop', 'glow up', 'fr', 'mid' as slang, etc.) appear. This is a straightforward corporate earnings statement. Therefore, this is NOT_SLANG.",syntactic|semantic
this isnt buicks first travelrelated promotion,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'this', 'isnt', 'buicks', 'first', 'travelrelated', 'promotion'. 'isnt' is a contraction (not slang), 'buicks' is a proper noun (brand), 'travelrelated' is a compound adjective (standard usage, not slang). None of these tokens are Gen Z or internet slang — no terms like 'bop', 'glow up', 'fr', 'cap', etc. All are standard English words or orthographic variants (e.g., missing hyphen in 'travelrelated' is a typo, not slang). So this is NOT_SLANG.",syntactic|semantic
changing the mood of the country will take care of business without hate retribution lies and stupidity vote blue get involved,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'changing', 'the', 'mood', 'of', 'the', 'country', 'will', 'take', 'care', 'of', 'business', 'without', 'hate', 'retribution', 'lies', 'and', 'stupidity', 'vote', 'blue', 'get', 'involved' — all are standard English words used literally in a political context. 'Vote blue' is a conventional political slogan, not slang (it's an established phrase meaning support Democratic candidates). No Gen Z or internet slang terms (e.g., no 'bop', 'glow up', 'fr', 'sus', 'cap', etc.) appear. No abbreviations, phonetic spellings, or reappropriated terms with non-literal slang meaning. Thus, this is NOT_SLANG.",syntactic|semantic
they announced a reduction in formalities for travel but didnt show any real signs of resuming full diplomatic ties,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'they', 'announced', 'a', 'reduction', 'in', 'formalities', 'for', 'travel', 'but', 'didnt', 'show', 'any', 'real', 'signs', 'of', 'resuming', 'full', 'diplomatic', 'ties' — all are standard English words used in formal/neutral contexts. 'Didnt' is a contraction, not slang (it's standard informal writing, not internet/gen Z slang). No Gen Z or internet slang terms (e.g., no 'cap', 'sus', 'rizz', 'glow up', 'bop', etc.) appear. The sentence is formal policy/journalistic language. So this is NOT_SLANG.",syntactic|semantic
ate alot,NOT_SLANG,SLANG,False,"Scanning each token: 'ate' is Gen Z slang meaning 'dominated' or 'performed exceptionally well' (e.g., ""she ate the competition""). 'alot' is a misspelling of 'a lot', but in slang contexts, 'ate' + 'alot' often appears together as an emphatic phrase meaning 'completely dominated'. Though 'alot' is nonstandard orthography, it's not itself slang — the slang carrier is 'ate'. So only 'ate' is the slang token; 'alot' is O. This is SLANG due to 'ate'.",syntactic|semantic|hallucination
slevins coaches senior a hurling championship round mins played nd half clonkill st oliver plunketts goal for clonkill andrew shaw raises a green flag to put clonkill points ahead,NOT_SLANG,NOT_SLANG,True,"This text appears to be a sports report (Gaelic hurling) with proper nouns (Slevins, Clonkill, St. Oliver Plunketts, Andrew Shaw), technical terms ('senior A hurling championship', 'green flag', 'points ahead'), and standard verbs/nouns. None of the tokens are Gen Z or internet slang — all are domain-specific but conventional in Irish sports reporting. 'Green flag' is literal (scoring in hurling), not slang. No slang expressions like 'glow up', 'bop', 'fr', 'fcol', etc., appear. Therefore, this is NOT_SLANG.",syntactic|semantic
beta in a nutshell,NOT_SLANG,SLANG,False,"Scanning each token: 'beta' is used here as internet slang meaning an unpolished or early version of something (e.g., 'beta test'), or sometimes to describe a person in a pejorative, stereotyped way — both are common slang usages. 'in a nutshell' is an idiom, but it's standard English, not slang. So only 'beta' is slang, and it's a single-token expression. The other tokens ('in', 'a', 'nutshell') are not slang.",syntactic|semantic|hallucination
mr fiechter said that among the possibilities being considered by regulators to fight discrimination is the use of testers government investigators who would pose as home buyers,NOT_SLANG,NOT_SLANG,True,"This is a formal, journalistic sentence discussing regulatory actions against housing discrimination. All tokens — 'mr', 'fiechter', 'said', 'that', 'among', 'the', 'possibilities', 'being', 'considered', 'by', 'regulators', 'to', 'fight', 'discrimination', 'is', 'the', 'use', 'of', 'testers', 'government', 'investigators', 'who', 'would', 'pose', 'as', 'home', 'buyers' — are standard English words used in their literal, professional context. No internet slang, abbreviations, or Gen Z/colloquial expressions appear. 'Testers' here refers to fair housing testers (a formal term), not slang. Thus, this is NOT_SLANG.",syntactic|semantic
very likeable selfdeprecating the cringe is intentional seems attainable even though not,SLANG,SLANG,True,"Scanning each token: 'very' is standard. 'likeable' is standard spelling (not slang). 'selfdeprecating' is a compound adjective, standard usage. 'the' is standard article. 'cringe' is Gen Z slang meaning something embarrassing or awkward — used here as a noun (""the cringe""), which is slangy usage. 'is' is standard verb. 'intentional' is standard. 'seems' is standard. 'attainable' is standard. 'even' is standard. 'though' is standard. 'not' is standard. So only 'cringe' qualifies as slang — a single-token slang expression.",syntactic|semantic
would love to see stan call someone bro its like hes trying to b down w the kids,NOT_SLANG,SLANG,False,"Scanning each token: 'stan' is slang (originally from fan culture, now verb meaning to obsessively support); 'bro' is informal but widely accepted standard English, not Gen Z slang per se; 'b down' is slang for 'be down' (i.e., willing/cool with something); 'w' is slang abbreviation for 'with'; 'the kids' is literal, not slang. So slang tokens are: 'stan' (B-SLANG), 'b' (B-SLANG — starts the slang phrase 'b down'), 'down' (I-SLANG — continuation of 'b down'), and 'w' (B-SLANG — standalone slang abbreviation). Note: 'b' and 'down' form a multi-word slang expression 'b down', so 'b' is B-SLANG and 'down' is I-SLANG. 'w' is a separate slang token. All other tokens ('would', 'love', 'to', 'see', 'call', 'someone', 'its', 'like', 'hes', 'trying', 'to', 'the', 'kids') are standard English. Total tokens: 18 → verify count:  
1. would  
2. love  
3. to  
4. see  
5. stan  
6. call  
7. someone  
8. bro  
9. its  
10. like  
11. hes  
12. trying  
13. to  
14. b  
15. down  
16. w  
17. the  
18. kids  
Yes, 18 tokens. Slang spans: 'stan' (token 5), 'b down' (tokens 14–15), 'w' (token 16). So tags: O O O O B-SLANG O O O O O O O O B-SLANG I-SLANG B-SLANG O O",syntactic|semantic|hallucination
beep bop boop bot be gone,NOT_SLANG,SLANG,False,"Scanning each token: 'beep', 'bop', 'boop' are onomatopoeic terms often used in internet/meme culture to mimic robot sounds — collectively they form a playful, stereotypical ""robot speech"" slang phrase. Though each word individually can be non-slang (e.g., 'bop' as music slang), here the sequence 'beep bop boop' functions as a fixed, idiomatic robotic cliché — a recognized internet slang expression. 'bot' is short for robot and commonly used in tech/internet contexts, but in this context it's literal and part of the same robotic theme; however, 'beep bop boop' is the core slang unit. 'be gone' is an archaic/formal phrase, not slang. So only the first three tokens ('beep', 'bop', 'boop') form a multi-word slang expression — tagged as B-SLANG I-SLANG I-SLANG. 'bot' is not slang here (it's literal and follows the slang phrase), and 'be gone' are standard words. Thus: B-SLANG I-SLANG I-SLANG O O O.",syntactic|semantic|hallucination
hello friend hello mog hey elena how did you come to name him mog is it short for something,NOT_SLANG,SLANG,False,"Scanning each token: 'hello' is standard. 'friend' is standard. 'mog' stands out — it's internet slang, often used as a meme term (e.g., 'mog' as in 'to dominate' or 'to outshine', especially in gaming/meme contexts; also used as a nickname or absurd placeholder name). Here, it's used as a name/nickname ('hey elena how did you come to name him mog'), and the follow-up question treats it as an unusual or slang-derived name. While 'mog' has roots in British slang ('moggy' for cat) and online usage, its use here as a proper noun appears to be intentional slang adoption (similar to 'boomer', 'cheugy', 'rizz'). No other tokens are slang. So 'mog' is B-SLANG; all others are O.",syntactic|semantic
my favorite goat,NOT_SLANG,SLANG,False,"Scanning each token: 'my', 'favorite', and 'goat' — 'GOAT' is an acronym for 'Greatest of All Time', widely used as slang (often capitalized, but frequently lowercase in informal contexts). Here, 'goat' is used informally to mean 'greatest', not the animal. This is a single-token slang expression. So 'goat' is B-SLANG; 'my' and 'favorite' are standard words. The sentence contains slang, so this is SLANG.",syntactic|semantic|hallucination
i can t believe they missed the dominos extra sauce life hack it s free and it s a game changer give it a try i promise u won t regret it,NOT_SLANG,SLANG,False,"Scanning each token: 'dominos' is a proper noun (brand name), not slang. 'extra sauce' is literal — referring to actual sauce, not metaphorical. 'life hack' is a common compound noun meaning a clever trick or shortcut; while somewhat informal, it's widely accepted in standard English and not considered Gen Z internet slang per se (it predates and is distinct from terms like 'glow up', 'bop', 'fr'). 'game changer' is an established idiom in business/colloquial English, but again, not contemporary internet slang — it's mainstream and formal-adjacent. 'u' is internet shorthand for 'you'; this *is* recognized slang/abbreviated form in informal digital communication. 'u' appears once ('u') and is the only slang token. All other tokens ('i', 'can', 't', 'believe', etc.) are standard words or contractions ('can t' → 'can't', but tokenized as 't' — however, 't' here is just an apostrophe-separated contraction part, not slang on its own). So only 'u' qualifies as slang. Thus, the sentence contains slang → SLANG.",syntactic|semantic|hallucination
im telling you that was the best movie ive ever seen on god,SLANG,SLANG,True,"Scanning each token: 'im' is a common informal contraction of 'I'm', but contractions are not considered slang in this context (they're standard informal writing). 'telling', 'you', 'that', 'was', 'the', 'best', 'movie', 'ive', 'ever', 'seen', 'on', 'god' — all are standard English words. 'on god' is emerging internet slang meaning 'I swear' or 'truthfully', often used for emphasis. It's a two-token phrase ('on' + 'god') functioning as an intensifier, widely recognized as slang (e.g., popularized on TikTok/rap culture). So 'on god' is a slang expression. Therefore, the sentence contains slang and is SLANG.",syntactic|semantic
mr lawson though not allowed to join the ems chose to shadow the deutsche mark,NOT_SLANG,NOT_SLANG,True,"Scanning each token: 'mr' is a standard title abbreviation. 'lawson' is a proper noun. 'though', 'not', 'allowed', 'to', 'join', 'the', 'ems', 'chose', 'to', 'shadow', 'the', 'deutsche', 'mark' — all are standard English words or proper nouns. 'EMS' stands for European Monetary System (a formal institution), and 'Deutsche Mark' is the former German currency — both are technical/financial terms, not slang. No Gen Z or internet slang present. So this is NOT_SLANG.",syntactic|semantic
was i need to check my calendar,SLANG,NOT_SLANG,False,"Scanning each token: 'was' is a standard verb. 'i' is a pronoun. 'need', 'to', 'check', 'my', 'calendar' are all standard English words used literally. None of these tokens are recognized as internet slang, Gen Z slang, or informal abbreviations. The sentence appears to be a grammatically incomplete but non-slang utterance. No slang expression is present, so this is NOT_SLANG.",syntactic|semantic|hallucination
yo look how that guy snatched that chair out the air that s some super hero shit,NOT_SLANG,SLANG,False,"Scanning each token: 'yo' is slang (casual greeting). 'look how that guy snatched that chair out the air' is literal description. 'that s' is informal contraction of 'that's', but not slang per se — however, 'shit' in 'super hero shit' is slang used hyperbolically (not literal excrement) to mean 'stuff' or 'behavior' — and 'super hero shit' is a colloquial, slangy phrase meaning extraordinary/heroic behavior. But note: 'super hero shit' is a multi-word slang expression; 'super' and 'hero' are standard words, but 'shit' here is slang — however, 'super hero shit' functions idiomatically as a unit. Still, only 'shit' carries the slang semantic weight in this construction; 'super' and 'hero' are not slang on their own. 'yo' is standalone slang. So we have two slang tokens: 'yo' (B-SLANG) and 'shit' (B-SLANG). No multi-token slang spans like 'super hero shit' are conventionally tagged as a single unit in standard slang annotation — 'shit' is the slang element; 'super' and 'hero' remain O. Also, 'snatched' can be slang (meaning to take quickly/defiantly), especially in AAVE-influenced internet usage — e.g., 'snatched that chair' implies bold, impressive action. So 'snatched' is slang here. Thus slang tokens: 'yo', 'snatched', 'shit'. All others are standard English. Confirming count: tokens are ['yo', 'look', 'how', 'that', 'guy', 'snatched', 'that', 'chair', 'out', 'the', 'air', 'that', 's', 'some', 'super', 'hero', 'shit'] → 17 tokens. Slang tokens at indices 0 ('yo'), 5 ('snatched'), and 16 ('shit'). Each is a single-token slang expression — no continuations needed (I-SLANG not required).",syntactic|semantic|hallucination
im fucking crying we got dazai x gojo art on the strawpage before sigma bsd,NOT_SLANG,SLANG,False,"Scanning each token: 'im' is informal but standard internet abbreviation (not slang per se — common contraction of 'I’m'). 'fucking' is a profanity, but in this context functions as an intensifier; however, it's not Gen Z slang — it's standard English profanity. 'crying' is used literally here (emotional reaction), not as slang (e.g., 'crying' ≠ 'laughing hard', which would be slang). 'we got dazai x gojo art on the strawpage' — 'dazai' and 'gojo' are anime characters (Bungo Stray Dogs & Jujutsu Kaisen); 'strawpage' is likely a typo/misspelling of 'Strawpoll' or 'Strawberry Page'? But more plausibly, it’s a misspelling of 'Strawpoll' — however, 'strawpage' itself is not established slang; it's either a typo or niche fandom jargon, not widely recognized Gen Z slang. 'before sigma bsd' — 'sigma' is Gen Z slang (referring to the 'sigma male' meme archetype), and 'bsd' is ambiguous: could be 'bored', 'bullshit', 'BSD' (Berkeley Software Distribution), or typo for 'bs'd' (bullshitted)? But in fandom contexts, 'bsd' is not a recognized slang term — no evidence it's established slang. Crucially, 'sigma' *is* widely recognized slang. So 'sigma' alone qualifies as slang. Therefore, the sentence contains at least one slang token → SLANG.",syntactic|semantic|hallucination
you have to work late h8ttu,SLANG,SLANG,True,"Scanning each token: 'you', 'have', 'to', 'work', 'late' are all standard English words. 'h8ttu' is internet slang for 'hate to tell you' — a common abbreviated phrase used in informal online communication. It is a single-token slang expression. Since it appears at the end and is not part of a multi-word slang phrase, it gets B-SLANG. All other tokens are non-slang. So this is SLANG.",syntactic|semantic
