text,gold_label,pred_label,correct,reasoning,categories
this must be the last big stretch of the american seacoast that is undeveloped there are a few ramshackle fishing towns with quiet atolls of resort houses nearby,NOT_SLANG,NOT_SLANG,True,"Scanning each token: This describes a geographical or coastal scene. All words — 'this', 'must', 'be', 'the', 'last', 'big', 'stretch', 'of', 'the', 'american', 'seacoast', 'that', 'is', 'undeveloped', 'there', 'are', 'a', 'few', 'ramshackle', 'fishing', 'towns', 'with', 'quiet', 'atolls', 'of', 'resort', 'houses', 'nearby' — are standard English used in a descriptive context. No slang expressions are present, so this is NOT_SLANG.",syntactic|semantic
you didnt agree wtfe i dont care,SLANG,SLANG,True,"Scanning each token: 'you' is a standard pronoun. 'didnt' is a contraction of 'did not', considered standard in informal writing. 'agree' is a standard verb. 'wtfe' is slang acronym ('what the fuck ever') and a single-token slang expression. 'i' is a standard pronoun. 'dont' is a contraction of 'do not', considered standard in informal writing. 'care' is a standard verb. The sentence contains the slang acronym 'wtfe', so this is SLANG.",syntactic|semantic
i see your highly educated may i ask where you got stupid information like that wait i bet from the cdc or some post that got their info from the cdc i dont think i have parasites infestation it does feel like it at times though  th,NOT_SLANG,SLANG,False,"Reasoning:  
First, split the text into tokens:  
Tokens: [""i"", ""see"", ""your"", ""highly"", ""educated"", ""may"", ""i"", ""ask"", ""where"", ""you"", ""got"", ""stupid"", ""information"", ""like"", ""that"", ""wait"", ""i"", ""bet"", ""from"", ""the"", ""cdc"", ""or"", ""some"", ""post"", ""that"", ""got"", ""their"", ""info"", ""from"", ""the"", ""cdc"", ""i"", ""dont"", ""think"", ""i"", ""have"", ""parasites"", ""infestation"", ""it"", ""does"", ""feel"", ""like"", ""it"", ""at"", ""times"", ""though""]  
Count: 47 tokens exactly.

Next, scan for slang expressions.  
Possible slang:  
- ""stupid"": Could be standard insulting word, not necessarily slang if used literally.  
- ""info"": Abbreviation for ""information"", common informal/slang usage.  
- ""dont"": Abbreviation for ""do not"", common informal/slang usage.  
- ""cdc"": Is an organization acronym, not slang.  
- ""bet"": Could be slang meaning ""I guess"" or ""I'm sure"". In context ""wait i bet from the cdc"" → it's slang for ""I'm guessing"".  

Consider definitions:  
- ""info"": informal abbreviation, internet slang.  
- ""dont"": informal abbreviation, internet slang.  
- ""bet"": slang when used as ""I bet"" meaning ""I guess/I'm sure"".  

Multi-word slang spans?  
- ""i bet"": Could be a slang phrase, but ""i"" is a pronoun, and ""bet"" is the slang token. So ""bet"" is B-SLANG.  

Check context for slang usage:  
- ""stupid information"": ""stupid"" is used as adjective meaning foolish, standard usage, not slang specific.  
- ""info"": appears twice: ""their info"" and implicitly earlier, but second occurrence is ""info"" explicitly, slang abbreviation.  
- ""dont"": slang abbreviation.  

Thus slang tokens:  
1. ""info"" (first occurrence? Actually token #28 is ""info"") → token 28: slang  
2. ""dont"" → token 33: slang  
3. ""bet"" → token 18: slang  

No other",syntactic|semantic|hallucination
just check out drip stop leaping around don t as y tho i,NOT_SLANG,SLANG,False,"Scanning each token:

1. just - standard word  
2. check - standard word  
3. out - standard word  
4. drip - Gen Z slang meaning stylish clothing/outfit/fashion sense  
5. stop - standard word  
6. leaping - standard word  
7. around - standard word  
8. don - standard word  
9. t - standard word (contraction ""don't"")  
10. as - standard word  
11. y - Gen Z slang abbreviation for ""why""  
12. tho - Gen Z slang abbreviation for ""though""  
13. i - standard word  

There are three slang tokens: 'drip' (single-word slang), 'y' (slang abbreviation), 'tho' (slang abbreviation). They are not part of a multi-word slang expression — each stands alone as separate slang terms.  

Token 4 'drip' is B-SLANG, token 11 'y' is B-SLANG, token 12 'tho' is B-SLANG.",syntactic|semantic|hallucination
they bussin fr,SLANG,SLANG,True,"Scanning each token: 'they' is a standard pronoun. 'bussin' is slang meaning really good / delicious / amazing. 'fr' is slang meaning 'for real'. Both slang terms appear as separate slang tokens, so the sentence contains slang.",syntactic|semantic
just imagine how peaceful the world would be if all the elites just lit up a j and chilled tf out,NOT_SLANG,SLANG,False,"Scanning each token: 
- 'just', 'imagine', 'how', 'peaceful', 'the', 'world', 'would', 'be', 'if', 'all', 'the' are standard English words. 
- 'elites' is a standard term (might refer to wealthy/powerful class). 
- 'lit up a j' — 'lit up' means to smoke (standard), but 'j' is slang for 'joint' (a marijuana cigarette). 'lit up a j' is a three-token slang expression. 
- 'chilled tf out' — 'chilled' is slang for relaxed, 'tf' is slang abbreviation for 'the fuck', 'out' completes the phrase. The phrase 'chilled tf out' is slang, with 'tf' as a standalone slang abbreviation embedded in the slang phrase. The full slang expression 'chilled tf out' is a three-token slang phrase.
Thus, slang spans are: 'lit up a j' and 'chilled tf out'.",syntactic|semantic|hallucination
don t talk about pfps with me buddy mr scary meanie aura boy,SLANG,SLANG,True,"Scanning tokens carefully (there are 13 tokens): 

Tokens: don, t, talk, about, pfps, with, me, buddy, mr, scary, meanie, aura, boy.

- ""pfps"" stands for 'profile pictures' — internet slang abbreviation commonly used in online communities. This is slang.
- ""buddy"" can be slang if used sarcastically, but here it's neutral.
- ""mr scary meanie aura boy"" could be a mock-ironic nickname, but each word is standard. 'aura' could be slang in certain contexts, but combined as a teasing description it might be sarcastic internet slang. However, the phrase 'mr scary meanie aura boy' is a constructed nickname likely used in a playful mocking way — it qualifies as a multi-word slang expression because it is a stylized label used in informal online discourse. Therefore, the whole span ""mr scary meanie aura boy"" is slang. 

Thus, there are two slang expressions: ""pfps"" (single token) and ""mr scary meanie aura boy"" (4 tokens).

So, tokens:

1. don -> O
2. t -> O (contraction of ""not"")
3. talk -> O
4. about -> O
5. pfps -> B-SLANG
6. with -> O
7. me -> O
8. buddy -> O (neutral here)
9. mr -> B-SLANG (start of nickname slang)
10. scary -> I-SLANG
11. meanie -> I-SLANG
12. aura -> I-SLANG
13. boy -> I-SLANG",syntactic|semantic
what has jolted many junk buyers is the sudden realization that junk bonds cannot necessarily be bought and sold with the ease of common stocks and many investmentgrade bonds,NOT_SLANG,NOT_SLANG,True,"Scanning each token: This is a formal sentence from a financial/business context. All words are used in their standard, literal sense — 'junk bonds', 'investmentgrade' are financial terms but not slang; they are technical jargon. There is no internet slang or informal slang usage, so this is NOT_SLANG.",syntactic|semantic
please send me the document ayec,SLANG,SLANG,True,"Scanning each token: 'please send me the document' are standard English words. 'ayec' — this could be an abbreviation (e.g., ""at your earliest convenience""), though not widely recognized as slang. However, in internet slang detection, abbreviations like this are often considered slang if they are informal shorthand. I'll treat 'ayec' as a single-token slang expression.",syntactic|semantic
the ghost of mandela hope my flows they propel it let these words be your earth and moon you consume every message as i lead this army make room for mistakes and depression and with that being said my nigga let me ask this question,NOT_SLANG,SLANG,False,"Let's examine each token for slang usage, remembering that slang expressions can be multi-word. The text is poetic/lyrical. Common slang to check: ""flows"" (slang for rap lyrics), ""propel it"" (not slang), ""my nigga"" is a highly informal slang term, often used in African-American vernacular English and hip-hop context — it is a two-word slang expression here: ""my"" + ""nigga"". Other tokens like ""ghost"", ""mandela"", ""hope"", ""earth"", ""moon"", ""consume"", ""message"", ""lead"", ""army"", ""room"", ""mistakes"", ""depression"", ""question"" are used in their literal or poetic sense, not slang. So the slang span is ""my nigga"". Total tokens: ""the ghost of mandela hope my flows they propel it let these words be your earth and moon you consume every message as i lead this army make room for mistakes and depression and with that being said my nigga let me ask this question"" — let's count tokens: the(1) ghost(2) of(3) mandela(4) hope(5) my(6) flows(7) they(8) propel(9) it(10) let(11) these(12) words(13) be(14) your(15) earth(16) and(17) moon(18) you(19) consume(20) every(21) message(22) as(23) i(24) lead(25) this(26) army(27) make(28) room(29) for(30) mistakes(31) and(32) depression(33) and(34) with(35) that(36) being(37) said(38) my(39) nigga(40) let(41) me(42) ask(43) this(44) question(45). Token 39 (""my"") is part of slang expression ""my nigga"", token 40 (""nigga"") is continuation. So B-SLANG at token 39, I-SLANG at token 40. All others O.",syntactic|semantic|hallucination
