sentence,binary_label,tags
pierre vinken years old will join the board as a nonexecutive director nov,0,O O O O O O O O O O O O O
mr vinken is chairman of elsevier nv the dutch publishing group,0,O O O O O O O O O O O
rudolph agnew years old and former chairman of consolidated gold fields plc was named a nonexecutive director of this british industrial conglomerate,0,O O O O O O O O O O O O O O O O O O O O O O
a form of asbestos once used to make kent cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it more than years ago researchers reported,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the asbestos fiber crocidolite is unusually resilient once it enters the lungs with even brief exposures to it causing symptoms that show up decades later researchers said,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O
lorillard inc the unit of new yorkbased loews corp that makes kent cigarettes stopped using crocidolite in its micronite cigarette filters in,0,O O O O O O O O O O O O O O O O O O O O O O
although preliminary findings were reported more than a year ago the latest results appear in todays new england journal of medicine a forum likely to bring new attention to the problem,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
a lorillard spokewoman said this is an old story,0,O O O O O O O O O
were talking about years ago before anyone heard of asbestos having any questionable properties,0,O O O O O O O O O O O O O O
neither lorillard nor the researchers who studied the workers were aware of any research on smokers of the kent cigarettes we have no useful information on whether users are at risk said james a talcott of bostons danafarber cancer institute,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
dr talcott led a team of researchers from the national cancer institute and the medical schools of harvard university and boston university,0,O O O O O O O O O O O O O O O O O O O O O O
the lorillard spokeswoman said asbestos was used in very modest amounts in making paper for the filters in the early s and replaced with a different type of filter in,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
from to billion kent cigarettes with the filters were sold the company said,0,O O O O O O O O O O O O O
among men who worked closely with the substance have died more than three times the expected number,0,O O O O O O O O O O O O O O O O O
four of the five surviving workers have asbestosrelated diseases including three with recently diagnosed cancer,0,O O O O O O O O O O O O O O O
the total of deaths from malignant mesothelioma lung cancer and asbestosis was far higher than expected the researchers said,0,O O O O O O O O O O O O O O O O O O O
the percentage of lung cancer deaths among the workers at the west groton mass paper factory appears to be the highest for any asbestos workers studied in western industrialized countries he said,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the plant which is owned by hollingsworth vose co was under contract with lorillard to make the cigarette filters,0,O O O O O O O O O O O O O O O O O O O
the finding probably will support those who argue that the us should regulate the class of asbestos including crocidolite more stringently than the common kind of asbestos chrysotile found in most schools and other buildings dr talcott said,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the us is one of the few industrialized nations that doesnt have a higher standard of regulation for the smooth needlelike fibers such as crocidolite that are classified as amphobiles according to brooke t mossman a professor of pathlogy at the university of vermont college of medicine,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
more common chrysotile fibers are curly and are more easily rejected by the body dr mossman explained,0,O O O O O O O O O O O O O O O O O
in july the environmental protection agency imposed a gradual ban on virtually all uses of asbestos,0,O O O O O O O O O O O O O O O O
by almost all remaining uses of cancercausing asbestos will be outlawed,0,O O O O O O O O O O O
about workers at a factory that made paper for the kent filters were exposed to asbestos in the s,0,O O O O O O O O O O O O O O O O O O O
areas of the factory were particularly dusty where the crocidolite was used,0,O O O O O O O O O O O O
workers dumped large burlap sacks of the imported material into a huge bin poured in cotton and acetate fibers and mechanically mixed the dry fibers in a process used to make filters,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
workers described clouds of blue dust that hung over parts of the factory even though exhaust fans ventilated the area,0,O O O O O O O O O O O O O O O O O O O O
yields on moneymarket mutual funds continued to slide amid signs that portfolio managers expect further declines in interest rates,0,O O O O O O O O O O O O O O O O O O O
compound yields assume reinvestment of dividends and that the current yield continues for a year,0,O O O O O O O O O O O O O O O
average maturity of the funds investments lengthened by a day to days the longest since early august according to donoghues,0,O O O O O O O O O O O O O O O O O O O O
longer maturities are thought to indicate declining interest rates because they permit portfolio managers to retain relatively higher rates for a longer period,0,O O O O O O O O O O O O O O O O O O O O O O O
shorter maturities are considered a sign of rising rates because portfolio managers can capture higher rates sooner,0,O O O O O O O O O O O O O O O O O
the average maturity for funds open only to institutions considered by some to be a stronger indicator because those managers watch the market closely reached a high point for the year days,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
nevertheless said brenda malizia negus editor of money fund report yields may blip up again before they blip down because of recent rises in shortterm interest rates,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O
despite recent declines in yields investors continue to pour cash into money funds,0,O O O O O O O O O O O O O
typically moneyfund yields beat comparable shortterm investments because portfolio managers can vary maturities and go after the highest rates,0,O O O O O O O O O O O O O O O O O O O
he succeeds terrence d daniels formerly a wr grace vice chairman who resigned,0,O O O O O O O O O O O O O
wr grace holds three of grace energys seven board seats,0,O O O O O O O O O O
the thrift holding company said it expects to obtain regulatory approval and complete the transaction by yearend,0,O O O O O O O O O O O O O O O O O
mcdermott international inc said its babcock wilcox unit completed the sale of its bailey controls operations to finmeccanica sp,0,O O O O O O O O O O O O O O O O O O O
finmeccanica is an italian stateowned holding company with interests in the mechanical engineering industry,0,O O O O O O O O O O O O O O
bailey controls based in wickliffe ohio makes computerized industrial controls systems,0,O O O O O O O O O O O
the federal government suspended sales of us savings bonds because congress hasnt lifted the ceiling on government debt,0,O O O O O O O O O O O O O O O O O O
until congress acts the government hasnt any authority to issue new debt obligations of any kind the treasury said,0,O O O O O O O O O O O O O O O O O O O
legislation to lift the debt ceiling is ensnarled in the fight over cutting capitalgains taxes,0,O O O O O O O O O O O O O O O
the treasury said the us will default on nov if congress doesnt act by then,0,O O O O O O O O O O O O O O O
clark j vitulli was named senior vice president and general manager of this us sales and marketing arm of japanese auto maker mazda motor corp,0,O O O O O O O O O O O O O O O O O O O O O O O O O
in the new position he will oversee mazdas us sales service parts and marketing operations,0,O O O O O O O O O O O O O O O
previously mr vitulli years old was general marketing manager of chrysler corp s chrysler division,0,O O O O O O O O O O O O O O O
he had been a sales and marketing executive with chrysler for years,0,O O O O O O O O O O O O
when its time for their biannual powwow the nations manufacturing titans typically jet off to the sunny confines of resort towns like boca raton and hot springs,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O
the national association of manufacturers settled on the hoosier capital of indianapolis for its fall board meeting,0,O O O O O O O O O O O O O O O O O
and the city decided to treat its guests more like royalty or rock stars than factory owners,0,O O O O O O O O O O O O O O O O O
the idea of course to prove to corporate decision makers that the buckle on the rust belt isnt so rusty after all that its a good place for a company to expand,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
on the receiving end of the message were officials from giants like du pont and maytag along with lesser knowns like trojan steel and the valley queen cheese factory,0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
for starters the executives joined mayor william h hudnut iii for an evening of the indianapolis symphony orchestra and a guest pianistcomedian victor borge,0,O O O O O O O O O O O O O O O O O O O O O O O O
champagne and dessert followed,0,O O O O
the next morning with a police escort busloads of executives and their wives raced to the indianapolis motor speedway unimpeded by traffic or red lights,0,O O O O O O O O O O O O O O O O O O O O O O O O O
the governor couldnt make it so the lieutenant governor welcomed the special guests,0,O O O O O O O O O O O O O
a buffet breakfast was held in the museum where food and drinks are banned to everyday visitors,0,O O O O O O O O O O O O O O O O O
then in the guests honor the speedway hauled out four drivers crews and even the official indianapolis announcer for a lap exhibition race,0,O O O O O O O O O O O O O O O O O O O O O O O
after the race fortune executives drooled like schoolboys over the cars and drivers,0,O O O O O O O O O O O O O
no dummies the drivers pointed out they still had space on their machines for another sponsors name or two,0,O O O O O O O O O O O O O O O O O O O
back downtown the execs squeezed in a few meetings at the hotel before boarding the buses again,0,O O O O O O O O O O O O O O O O O
this time it was for dinner and dancing a block away,0,O O O O O O O O O O O
